COUNTRY;COUNTY;TYPE;UKNIWM_ID;CIVIL_PARISH;NOTE;UKNIWM_WEB;COMMEMORATION;LATITUDE;LONGITUDE;MAP
SCOTLAND;ABERFOYLE;CIVIC;5783;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5783;First World War (1914-1918), Second World War (1939-1945);56.180795343300;-4.395141652951;https://www.google.com/maps/search/?api=1&query=56.180795343300,-4.395141652951&query_place_id=
SCOTLAND;ABERFOYLE;CIVIC;5784;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5784;Second World War (1939-1945), Second World War - civilians;56.179494352762;-4.382475944179;https://www.google.com/maps/search/?api=1&query=56.179494352762,-4.382475944179&query_place_id=
SCOTLAND;AIRTH;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.0682549;-3.7699112;https://www.google.com/maps/search/?api=1&query=56.0682549,-3.7699112&query_place_id=
SCOTLAND;ALLOA;CIVIC;2084;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/2084;First World War (1914-1918), Second World War (1939-1945), Second World War - civilians;56.113507998824;-3.794971961029;https://www.google.com/maps/search/?api=1&query=56.113507998824,-3.794971961029&query_place_id=
SCOTLAND;ALLOA BOER WAR;CIVIC;44743;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44743;"Boer War; Second (1899-1902)";56.117122442656;-3.797923025050;https://www.google.com/maps/search/?api=1&query=56.117122442656,-3.797923025050&query_place_id=
SCOTLAND;ALVA;CIVIC;6029;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/6029;First World War (1914-1918), Second World War (1939-1945);56.154959384851;-3.807418792136;https://www.google.com/maps/search/?api=1&query=56.154959384851,-3.807418792136&query_place_id=
SCOTLAND;AVONBRIDGE;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;55.9343017;-3.7448362;https://www.google.com/maps/search/?api=1&query=55.9343017,-3.7448362&query_place_id=
SCOTLAND;BALFRON;CIVIC;5781;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5781;First World War (1914-1918), Second World War (1939-1945), Second World War - civilians;56.073662422888;-4.335251601285;https://www.google.com/maps/search/?api=1&query=56.073662422888,-4.335251601285&query_place_id=
SCOTLAND;BALQUHIDDER WW1;CIVIC;13454;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/13454;Second World War (1939-1945);56.358081383930;-4.371640007104;https://www.google.com/maps/search/?api=1&query=56.358081383930,-4.371640007104&query_place_id=
SCOTLAND;BANNOCKBURN;CIVIC;5795;TRUE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5795;First World War (1914-1918), Second World War (1939-1945);56.091021114191;-3.912490307712;https://www.google.com/maps/search/?api=1&query=56.091021114191,-3.912490307712&query_place_id=
SCOTLAND;BLACKNESS;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;56.4603689;-2.992883;https://www.google.com/maps/search/?api=1&query=56.4603689,-2.992883&query_place_id=
SCOTLAND;BO'NESS;CIVIC;Not listed;FALSE;NONE;NONE;UNKNOWN;56.0176867;-3.6073601;https://www.google.com/maps/search/?api=1&query=56.0176867,-3.6073601&query_place_id=
SCOTLAND;BOTHKENNAR;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.0315328;-3.7619471;https://www.google.com/maps/search/?api=1&query=56.0315328,-3.7619471&query_place_id=
SCOTLAND;BUCHANAN;CIVIC;Not listed;TRUE;NONE;NONE;UNKNOWN;56.070555;-4.3370981;https://www.google.com/maps/search/?api=1&query=56.070555,-4.3370981&query_place_id=
