COUNTRY;COUNTY;TYPE;UKNIWM_ID;CIVIC_PARISH;NOTES;UKNIWM_WEB;COMMEMORATION;LATITUDE;LONGITUDE;MAP
SCOTLAND;Back, Isle of Lewis;CIVIC;NOT LISTED;FALSE;NONE;NONE;UNKNOWN;5,827,535,965;-630,437,285;https://www.google.com/maps/search/?api=1&query=58.27535965,-6.30437285&query_place_id=
SCOTLAND;Barra & Vatersay;CIVIC;44781;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44781;First World War (1914-1918), First World War - civilians, Second World War (1939-1945), Second World War - civilians;5,695,020,642;-7,510,642,401;https://www.google.com/maps/search/?api=1&query=56.950206422203,-7.510642401093&query_place_id=
SCOTLAND;Bernera;CIVIC;NOT LISTED;FALSE;NONE;NONE;UNKNOWN;58,230,242;-6,842,833,171;https://www.google.com/maps/search/?api=1&query=58.230242000000004,-6.842833171303724&query_place_id=
SCOTLAND;Bornish & South Uist;CIVIC;44782;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44782;First World War (1914-1918), First World War - civilians, Second World War (1939-1945), Second World War - civilians;5,723,214,812;-7,397,550,648;https://www.google.com/maps/search/?api=1&query=57.232148117420,-7.397550647876&query_place_id=
SCOTLAND;Callanish, Isle of Lewis;CIVIC;NOT LISTED;FALSE;NONE;NONE;UNKNOWN;5,819,844,955;-673,162,895;https://www.google.com/maps/search/?api=1&query=58.19844955,-6.73162895&query_place_id=
SCOTLAND;Borve;CIVIC;NOT LISTED;FALSE;NONE;NONE;UNKNOWN;574,539,991;-62,574,902;https://www.google.com/maps/search/?api=1&query=57.4539991,-6.2574902&query_place_id=
SCOTLAND;Carinish, North Uist;CIVIC;NOT LISTED;FALSE;NONE;NONE;UNKNOWN;5,752,144,205;-7,309,235,429;https://www.google.com/maps/search/?api=1&query=57.52144205,-7.309235428680694&query_place_id=
SCOTLAND;Carloway, Isle of Lewis;CIVIC;5961;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5961;First World War (1914-1918), Second World War - civilians, Second World War (1939-1945), Korean War (1950-1953);5,828,212,591;-676,907,812;https://www.google.com/maps/search/?api=1&query=58.282125908755,-6.769078120298&query_place_id=
SCOTLAND;Clachan na Luib & North Uist;CIVIC;44783;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/44783;First World War (1914-1918), First World War - civilians, Second World War (1939-1945), Second World War - civilians;5,755,561,256;-7,329,794,693;https://www.google.com/maps/search/?api=1&query=57.555612562265,-7.329794693303&query_place_id=
SCOTLAND;Cross, North Lewis;CIVIC;NOT LISTED;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
